対象日付,コード,銘柄名,株価換算係数,業種,セクター
2026/8/4,1332,ニッスイ,1,水産,消費
2026/8/4,1605,ＩＮＰＥＸ,0.4,鉱業,素材
2026/8/4,1721,コムシスホールディングス,1,建設,資本財・その他
2026/8/4,1801,大成建設,0.2,建設,資本財・その他
2026/8/4,1802,大林組,1,建設,資本財・その他
2026/8/4,1803,清水建設,1,建設,資本財・その他
2026/8/4,1808,長谷工コーポレーション,0.2,建設,資本財・その他
2026/8/4,1812,鹿島建設,0.5,建設,資本財・その他
2026/8/4,1925,大和ハウス工業,1,建設,資本財・その他
2026/8/4,1928,積水ハウス,1,建設,資本財・その他
2026/8/4,1963,日揮ホールディングス,1,建設,資本財・その他
2026/8/4,2002,日清製粉グループ本社,1,食品,消費
2026/8/4,2269,明治ホールディングス,0.4,食品,消費
2026/8/4,2282,日本ハム,0.5,食品,消費
2026/8/4,2413,エムスリー,2.4,サービス,消費
2026/8/4,2432,ディー・エヌ・エー,0.3,サービス,消費
2026/8/4,2501,サッポロビール,1,食品,消費
2026/8/4,2502,アサヒグループホールディングス,3,食品,消費
2026/8/4,2503,キリンホールディングス,1,食品,消費
2026/8/4,2768,双日,0.1,商社,素材
2026/8/4,2801,キッコーマン,5,食品,消費
2026/8/4,2802,味の素,2,食品,消費
2026/8/4,285A,キオクシアホールディングス,0.7,電気機器,技術
2026/8/4,2871,ニチレイ,1,食品,消費
2026/8/4,2914,日本たばこ産業,1,食品,消費
2026/8/4,3086,Ｊ．フロントリテイリング,0.5,小売業,消費
2026/8/4,3092,ＺＯＺＯ,3,小売業,消費
2026/8/4,3099,三越伊勢丹ホールディングス,1,小売業,消費
2026/8/4,3289,東急不動産ホールディングス,1,不動産,資本財・その他
2026/8/4,3382,セブン＆アイ・ホールディングス,3,小売業,消費
2026/8/4,3401,帝人,0.2,繊維,素材
2026/8/4,3402,東レ,1,繊維,素材
2026/8/4,3405,クラレ,1,化学,素材
2026/8/4,3407,旭化成,1,化学,素材
2026/8/4,3436,ＳＵＭＣＯ,0.1,非鉄・金属,素材
2026/8/4,3659,ネクソン,2,サービス,消費
2026/8/4,3697,ＳＨＩＦＴ,1,サービス,消費
2026/8/4,3861,王子ホールディングス,1,パルプ・紙,素材
2026/8/4,4004,レゾナック・ホールディングス,0.1,化学,素材
2026/8/4,4005,住友化学,1,化学,素材
2026/8/4,4021,日産化学,1,化学,素材
2026/8/4,4042,東ソー,0.5,化学,素材
2026/8/4,4043,トクヤマ,0.2,化学,素材
2026/8/4,4061,デンカ,0.2,化学,素材
2026/8/4,4062,イビデン,2,電気機器,技術
2026/8/4,4063,信越化学工業,5,化学,素材
2026/8/4,4151,協和キリン,1,医薬品,技術
2026/8/4,4183,三井化学,0.4,化学,素材
2026/8/4,4188,三菱ケミカルグループ,0.5,化学,素材
2026/8/4,4208,ＵＢＥ,0.1,化学,素材
2026/8/4,4307,野村総合研究所,1,サービス,消費
2026/8/4,4324,電通グループ,1,サービス,消費
2026/8/4,4385,メルカリ,1,サービス,消費
2026/8/4,4452,花王,2,化学,素材
2026/8/4,4502,武田薬品工業,1,医薬品,技術
2026/8/4,4503,アステラス製薬,5,医薬品,技術
2026/8/4,4506,住友ファーマ,1,医薬品,技術
2026/8/4,4507,塩野義製薬,3,医薬品,技術
2026/8/4,4519,中外製薬,3,医薬品,技術
2026/8/4,4523,エーザイ,1,医薬品,技術
2026/8/4,4543,テルモ,8,精密機器,技術
2026/8/4,4568,第一三共,3,医薬品,技術
2026/8/4,4578,大塚ホールディングス,1,医薬品,技術
2026/8/4,4661,オリエンタルランド,1,サービス,消費
2026/8/4,4689,ＬＩＮＥヤフー,0.4,サービス,消費
2026/8/4,4704,トレンドマイクロ,1,サービス,消費
2026/8/4,4751,サイバーエージェント,0.8,サービス,消費
2026/8/4,4755,楽天グループ,1,サービス,消費
2026/8/4,4901,富士フイルムホールディングス,3,化学,素材
